,lowpulse,ratio,total_period
0,67.47500000000001,0.6204540647902089,108.751
1,58.84799999999999,0.544535948921995,108.07
2,70.521,0.6309700624519085,111.766
3,58.885999999999996,0.5450691448988281,108.034
4,70.585,0.631378863097634,111.795
5,59.068999999999996,0.5469908972210132,107.989
6,70.539,0.6309617517621382,111.796
7,59.06700000000001,0.547058496647279,107.972
8,70.64699999999999,0.6315323690844402,111.866
9,58.992,0.5464549715619615,107.954
10,70.726,0.6322272678513963,111.868
11,59.30500000000001,0.5492475109979162,107.97500000000001
12,70.56700000000001,0.6311952700829168,111.79899999999999
13,59.154999999999994,0.5477720571894213,107.992
14,70.813,0.6333786515446952,111.80199999999999
15,59.159000000000006,0.5479663952723669,107.961
16,71.02099999999999,0.6346827524575512,111.9
17,59.078,0.5473580832553528,107.933
18,70.784,0.632813617508225,111.856
19,59.15799999999999,0.5482211863699968,107.909
20,70.684,0.6317671138600145,111.883
21,59.224999999999994,0.5484304102231687,107.99000000000001
22,70.709,0.6325559342654966,111.78299999999999
23,59.186,0.5480388162524538,107.996
24,70.547,0.6310445998890816,111.79400000000001
25,59.1,0.5473539926278549,107.974
26,70.55699999999999,0.6311114688992647,111.79799999999999
27,59.066,0.546952986822976,107.991
28,70.804,0.6329754422978929,111.859
29,58.971999999999994,0.5464975117923435,107.909
30,70.93700000000001,0.6342324782962441,111.84700000000001
31,59.634,0.5527193860527194,107.892
32,71.52499999999999,0.6388898813777333,111.952
33,59.817,0.5542716827279466,107.92
34,71.112,0.6353767389497949,111.921
35,59.542,0.5520048208408659,107.86500000000001
36,70.98100000000001,0.6344727103705956,111.874
37,59.30200000000001,0.5496677078795407,107.887
38,70.95,0.6340652564411915,111.89699999999999
39,59.21,0.5488353123290972,107.88300000000001
40,70.88799999999999,0.6339644240142375,111.817
41,59.155,0.5480156377380864,107.944
42,70.91,0.6339740724184174,111.85000000000001
43,59.19800000000001,0.5484038315454024,107.946
44,70.979,0.6345115497389687,111.864
45,59.37400000000001,0.550176986230286,107.918
46,70.79400000000001,0.6332936745775449,111.78699999999999
47,59.256,0.5487937022458902,107.97500000000001
48,71.01599999999999,0.6351829988193624,111.804
49,59.362,0.5502289453682592,107.886
50,71.006,0.6346507927995567,111.88199999999999
51,59.20599999999999,0.5485948315002361,107.923
52,70.936,0.6342915902892654,111.83500000000001
53,59.208999999999996,0.5488209558414593,107.884
54,70.841,0.6332552651339078,111.868
55,59.143,0.5481177364645697,107.902
56,70.953,0.634290465037278,111.86200000000001
57,59.274,0.5492758055099942,107.913
58,70.938,0.6345080500894454,111.8
59,59.251,0.5493120967143811,107.864
60,70.884,0.6334641060241826,111.899
61,59.187,0.5486373748609565,107.88000000000001
62,70.88499999999999,0.633591948372334,111.878
63,59.049000000000014,0.5476881695496918,107.815
64,71.62,0.6398699175370101,111.929
65,59.790000000000006,0.5544273513784183,107.84100000000001
66,71.83200000000001,0.6414888771801354,111.97699999999999
67,59.954,0.5562524354716001,107.782
68,72.003,0.6429470751591674,111.989
69,60.184000000000005,0.5586403423277919,107.73299999999999
70,72.274,0.6449062631057652,112.069
71,60.228,0.5589553693237186,107.751
72,72.34100000000001,0.6453140889547021,112.10199999999999
73,59.903000000000006,0.5560113981269202,107.737
74,71.55799999999999,0.6392017793816825,111.94900000000001
75,59.743,0.5539607035893442,107.847
76,71.175,0.6362011173184358,111.875
77,59.431,0.551318206274699,107.798
78,71.12400000000001,0.6356429803472962,111.893
79,59.395999999999994,0.5506461721024233,107.866
80,71.077,0.6353308185994959,111.874
81,59.29299999999999,0.5495027941762508,107.903
82,70.943,0.6345641245818352,111.79799999999999
83,59.51299999999999,0.5513270647088795,107.945
84,70.8,0.6331830864992487,111.816
85,59.554,0.5521007156895464,107.86800000000001
86,71.134,0.6360449936515317,111.83800000000001
87,59.418,0.5509880469959848,107.839
88,71.14,0.635740520638779,111.901
89,59.62499999999999,0.5528614346116756,107.848
90,71.114,0.6359230246449905,111.828
91,59.404,0.5507816121794278,107.854
92,71.056,0.6351033687578767,111.881
93,59.410000000000004,0.5507861751835645,107.864
94,71.076,0.6353843540759678,111.863
95,59.60999999999999,0.5525379110896889,107.884
96,70.849,0.6335873084008514,111.822
97,59.282999999999994,0.5496189575568782,107.862
98,70.82300000000001,0.6333774526462645,111.818
99,59.266999999999996,0.5491040821242611,107.934
100,71.042,0.635483755546014,111.792
101,59.392999999999994,0.5505418006877948,107.881
102,71.06699999999998,0.6356675819998389,111.79899999999999
103,59.669000000000004,0.55354657958699,107.794
104,71.751,0.6407884043474766,111.973
105,60.083,0.5575010206732731,107.772
106,72.172,0.6440133492763193,112.066
107,59.906,0.5560237609058845,107.74000000000001
108,71.482,0.6386997623259886,111.918
109,59.54899999999999,0.5524025974025972,107.80000000000001
110,71.24,0.6367991990846682,111.872
111,59.685,0.5534742249877129,107.837
112,71.214,0.6364075067024129,111.9
113,59.599,0.5528202654694877,107.809
114,71.02799999999999,0.6348644517737912,111.879
115,59.39,0.5506620183214034,107.852
116,71.10900000000001,0.6356282179633868,111.872
117,59.55199999999999,0.5525534441805225,107.776
118,71.06299999999999,0.6349843181757256,111.913
119,59.312,0.5501224308080434,107.81599999999999
120,71.14899999999999,0.63616773962804,111.83999999999999
121,59.418,0.5508756640491002,107.861
122,71.37200000000001,0.6379392021737771,111.879
123,59.35599999999999,0.5507450776625159,107.774
124,70.973,0.6342594661257026,111.899
125,59.467999999999996,0.5512216825479218,107.884
126,71.15299999999999,0.6364311270125224,111.8
127,59.388999999999996,0.5507191275883493,107.839
